CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15570205,682,Spain,Male,36,5,0,2,1,1,147758.51,0
15570289,697,Germany,Male,43,8,103409.16,1,1,0,66893.28,1
15570326,621,France,Male,34,6,0,2,1,1,99128.13,0
15570360,641,France,Female,35,4,0,2,0,0,125986.18,0
15570379,669,Spain,Male,51,3,88827.53,1,0,0,85250.77,1
15570417,579,France,Male,35,1,0,2,1,0,4460.2,0
15570533,621,Germany,Female,55,7,131033.76,1,0,1,75685.59,1
15570601,785,France,Female,47,9,122031.55,1,1,1,33823.5,1
15570629,655,Germany,Female,72,5,138089.97,2,1,1,99920.41,0
15570769,494,France,Male,69,9,93320.8,1,1,1,24489.44,0
15570835,491,Germany,Female,57,4,112044.72,1,1,1,41229.73,1
15570859,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0
15570931,620,France,Male,61,5,0,1,0,0,31641.52,1
15570932,666,France,Male,43,7,137780.74,2,1,1,119100.05,1
15570943,711,Germany,Female,35,2,133607.75,1,1,1,120586.32,0
15571002,706,France,Female,44,4,129605.99,1,0,0,69865.49,0
15571059,734,France,Female,54,3,0,1,1,0,130805.54,1
15571148,645,Spain,Female,21,1,0,2,0,0,28726.07,0
15571193,579,Germany,Male,42,0,144386.32,1,1,1,22497.1,1
15571221,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
15571244,809,Spain,Female,33,3,0,2,0,1,141426.78,0
15571261,714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0
15571302,529,Germany,Male,72,5,94216.05,1,1,1,78695.68,0
15571305,588,Germany,Female,35,1,103060.63,1,1,0,179866.01,1
15571415,805,Germany,Male,56,6,151802.29,1,1,0,46791.09,1
15571550,699,France,Male,39,9,0,1,1,0,80963.92,0
15571586,524,Spain,Male,29,3,159035.45,1,1,0,2705.31,1
15571666,642,Germany,Male,30,8,134497.27,1,0,0,43250.54,0
15571689,740,France,Female,37,5,0,2,1,1,27528.4,0
15571752,668,Germany,Female,32,10,92041.87,1,1,1,43595.9,0
15571778,817,France,Female,55,10,117561.49,1,1,0,95941.55,1
15571816,850,Spain,Female,70,5,0,1,1,1,705.18,0
15571869,669,Germany,Female,50,4,112650.89,1,0,0,166386.22,1
15571928,679,France,Female,43,4,0,3,1,0,115136.51,1
15571958,489,Spain,Male,40,3,221532.8,1,1,0,171867.08,0
15571973,776,France,Female,38,2,169824.46,1,1,0,169291.7,0
15572038,660,Germany,Male,35,9,113948.58,1,1,0,188891.96,1
15572050,768,Germany,Male,48,3,122831.58,1,1,1,24533.89,1
15572093,613,France,Female,24,7,140453.91,1,1,0,129001.3,0
15572145,767,France,Female,34,8,0,2,1,0,94767.77,0
15572182,505,Germany,Female,33,3,106506.77,3,1,0,45445.78,1
15572265,646,Germany,Male,46,1,170826.55,2,1,0,45041.32,0
15572291,825,France,Male,40,6,132308.22,1,0,0,117122.5,0
15572360,683,France,Male,30,10,57657.49,1,0,0,79240.9,0
15572461,663,Germany,Female,29,4,102714.65,2,0,0,21170.81,0
15572467,506,France,Male,37,5,0,2,1,1,127543.81,0
15572547,670,France,Female,45,9,104930.38,1,1,0,155921.81,1
15572626,620,Spain,Male,44,8,0,2,1,1,15627.51,0
15572762,410,Germany,Female,50,2,102278.79,2,1,0,89822.48,0
15572792,535,Spain,Male,35,8,118989.92,1,1,1,135536.72,0
15573077,620,Germany,Female,25,8,141825.88,1,1,1,73857.94,1
15573086,564,France,Male,42,7,99824.45,1,1,1,36721.4,0
15573112,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
15573152,620,France,Female,41,9,0,2,0,0,88852.47,0
15573171,695,Spain,Male,63,1,146202.93,1,1,1,126688.83,1
15573242,691,France,Male,50,6,136953.47,1,1,1,2704.98,0
15573280,646,Germany,Male,50,6,145295.31,2,1,1,27814.74,0
15573309,626,Spain,Female,48,2,0,2,1,1,95794.98,0
15573318,610,France,Male,26,8,0,2,1,0,166031.08,0
15573319,493,Germany,Female,35,8,178317.6,1,0,0,197428.64,0
15573452,663,Germany,Male,42,7,115930.87,1,1,0,19862.78,0
15573456,648,Spain,Male,46,9,127209,2,1,0,77405.95,1
15573599,506,France,Female,57,6,0,2,0,1,194421.12,1
15573628,751,Germany,Female,51,7,148074.79,1,1,0,146411.41,1
15573741,698,Spain,Male,38,10,95010.92,1,1,1,105227.86,0
15573769,764,France,Female,24,7,0,2,1,0,186105.99,0
15573851,735,France,Female,38,1,0,3,0,0,92220.12,1
15573876,473,Spain,Male,48,8,0,2,1,0,71139.8,0
15573888,648,Germany,Female,43,1,107963.38,1,0,0,186438.86,1
15573893,569,Germany,Male,25,9,173459.45,2,1,1,44381.06,0
15573926,735,Spain,Male,38,7,86131.71,2,0,0,93478.96,0
15573971,737,France,Male,44,7,0,2,0,0,57898.58,0
15574004,429,France,Female,27,6,117307.44,2,1,1,24020.49,0
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
15574068,504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1
15574071,706,Germany,Male,23,2,93301.97,2,0,1,127187.04,0
15574072,786,France,Female,62,8,0,1,1,1,165702.64,0
15574122,817,France,Male,34,5,129278.43,1,0,0,165562.84,0
15574137,687,Spain,Male,35,3,0,2,1,1,176450.19,0
15574167,665,France,Male,33,2,101286.11,1,1,1,159840.51,0
15574206,718,France,Female,37,7,0,2,1,1,55100.09,0
15574213,789,France,Female,53,1,158271.74,1,1,1,5036.39,1
15574296,757,France,Male,23,2,80673.96,2,1,0,93991.65,0
15574305,680,France,Male,36,3,116275.12,1,1,1,63795.8,0
15574324,568,Germany,Female,29,2,129177.01,2,0,1,104617.99,0
15574331,593,Germany,Female,62,3,118233.81,1,0,1,24765.53,1
15574352,850,France,Male,43,4,161256.53,1,1,1,140071.57,0
15574372,738,France,Male,35,5,161274.05,2,1,0,181429.87,0
15574692,667,Spain,Female,39,2,0,2,1,0,40721.24,1
15574761,466,France,Female,41,3,33563.95,2,1,0,178994.13,1
15574783,584,France,Female,37,1,0,2,1,1,180363.56,0
15574830,633,Germany,Male,58,2,128137.42,2,1,0,147635.33,1
15574842,653,Germany,Female,25,2,158266.42,3,1,1,199357.24,0
15574868,792,Germany,Male,36,5,115725.24,2,0,0,1871.25,0
15574879,631,Germany,Female,37,2,121801.72,2,0,1,23146.62,0
15574886,706,France,Male,32,6,94486.47,1,1,1,146949.74,0
15574910,601,France,Male,50,2,115625.07,1,1,0,185855.21,0
15574947,656,France,Male,36,8,97786.08,2,0,1,21478.36,0
15575002,676,France,Male,29,4,140720.93,1,1,0,36221.18,0
15575024,503,France,Male,29,3,0,2,1,1,143954.99,0
15575119,779,France,Male,71,3,0,2,1,1,146895.36,1
15575147,699,France,Male,22,9,99339,1,1,0,68297.61,1
15575185,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
15575214,709,France,Male,37,7,0,1,1,0,159486.76,0
15575247,524,France,Male,30,1,0,2,1,0,126812.85,0
15575409,581,Germany,Male,31,6,116891.72,1,1,0,107137.3,0
15575410,667,Germany,Female,39,4,83765.35,2,1,0,118358.54,0
15575417,849,Germany,Male,37,7,143452.74,2,1,1,17294.12,0
15575492,828,France,Female,41,7,0,2,1,0,171378.77,0
15575498,705,France,Female,39,5,149379.66,2,1,0,96075.55,0
15575581,614,Germany,Female,30,3,131344.52,2,1,0,54776.64,0
15575676,638,France,Male,24,1,0,2,0,1,162597.15,0
15575691,689,France,Female,58,5,0,2,0,1,49848.86,0
15575694,729,Spain,Female,45,7,91091.06,2,1,0,71133.12,0
15575748,809,France,Male,36,9,68881.59,2,0,1,109135.11,0
15575759,583,Spain,Female,40,3,54428.37,1,1,0,109638.78,1
15575858,763,France,Male,40,3,0,2,1,0,134281.11,0
15575883,559,France,Male,34,2,137390.11,2,1,0,9677,0
15575935,673,France,Male,59,0,178058.06,2,0,1,21063.71,1
15575955,764,France,Female,24,0,0,2,1,0,88724.49,0
15576044,579,Germany,Male,28,6,150329.15,1,1,0,145558.42,0
15576065,731,Spain,Female,40,5,171325.98,1,1,1,159718.27,1
15576085,739,France,Male,41,5,0,2,0,0,143882.25,0
15576094,743,France,Male,71,0,0,2,0,1,29837.65,0
15576126,649,France,Female,41,2,125785.23,1,1,1,70523.92,0
15576162,615,France,Male,32,7,92199.84,1,1,1,2755.53,0
15576185,653,France,Male,29,2,0,2,1,1,41671.81,0
15576196,743,Spain,Female,48,5,118207.69,2,0,0,186489.14,1
15576216,655,Germany,Female,37,4,108862.76,1,1,0,79555.08,1
15576219,615,France,Male,32,4,0,2,1,1,6225.63,0
15576256,582,France,Male,39,5,0,2,1,1,129892.93,0
15576263,759,France,Female,22,5,0,1,1,0,22303.17,0
15576269,523,Spain,Male,34,7,0,2,1,0,62030.06,0
15576313,486,Germany,Female,40,9,71340.09,1,1,0,76192.21,0
15576352,586,Spain,Female,57,3,0,2,0,1,6057.81,0
15576360,600,France,Male,40,1,141136.79,1,1,1,67803.83,0
15576368,624,Germany,Female,48,3,122388.38,2,0,0,30020.09,0
15576517,445,Germany,Female,34,7,131082.17,2,1,1,70618,0
15576550,619,Spain,Female,38,1,0,1,1,0,112442.63,1
15576602,809,France,Male,38,3,0,2,1,1,80061.31,0
15576623,584,France,Male,31,5,0,2,1,0,31474.27,0
15576644,687,Germany,Female,29,4,78939.15,1,1,0,122134.56,1
15576676,706,Germany,Female,28,6,124923.35,2,1,1,50299.14,0
15576683,568,Spain,Female,43,9,0,1,1,0,125870.79,1
15576714,687,Spain,Female,21,8,0,2,1,1,154767.34,0
15576723,740,France,Female,37,7,0,2,1,1,194270.91,0
15576745,769,France,Male,48,2,96542.16,2,0,1,197885.72,0
15576760,673,Germany,Male,36,5,73088.06,2,0,0,196142.26,0
15576824,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,1
15576928,573,France,Female,23,2,0,1,1,0,122964.18,0
15576935,743,Spain,Male,43,2,161807.18,2,0,1,93228.86,1
15576945,582,France,Male,29,0,0,1,1,0,142516.35,0
15577064,592,Germany,Male,36,2,104702.65,2,1,0,107948.72,0
15577078,539,Spain,Male,38,6,0,1,1,1,152880.07,1
15577107,657,Spain,Female,22,6,0,3,0,1,168412.07,1
15577178,511,France,Male,45,5,68375.27,1,1,0,193160.25,1
15577274,549,Germany,Female,43,3,134985.66,1,1,0,6101.41,0
15577313,619,France,Male,44,3,116967.68,1,1,0,5075.17,1
15577359,767,Spain,Male,47,5,0,1,1,0,121964.46,1
15577423,627,Germany,Female,39,5,124586.93,1,1,0,93132.61,1
15577478,714,France,Female,72,3,0,1,1,1,86733.61,0
15577514,698,Germany,Female,36,7,121263.62,1,1,1,13387.88,0
15577515,554,Germany,Female,55,0,108477.27,1,0,1,140003,1
15577587,550,Germany,Male,52,5,121016.23,1,1,1,41730.37,1
15577657,732,France,Male,41,8,0,2,1,1,170886.17,0
15577700,749,France,Male,37,10,185063.7,2,1,1,134526.87,0
15577751,759,Germany,Male,30,4,101802.67,1,0,0,8693.8,0
15577771,453,Germany,Female,40,1,111524.49,1,1,1,120373.84,1
15577806,794,Germany,Female,54,1,75900.84,1,1,1,192154.66,0
15577831,560,Germany,Male,41,4,152532.3,1,0,0,10779.69,0
15577970,489,France,Male,34,5,0,1,0,0,43540.59,0
15577985,574,France,Female,34,5,112324.45,2,1,1,17993.43,0
15577999,850,France,Female,62,1,124678.35,1,1,0,70916,1
15578006,787,France,Female,85,10,0,2,1,1,116537.96,0
15578045,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
15578096,537,France,Male,26,7,106397.75,1,0,0,103563.23,0
15578141,592,Spain,Male,38,3,0,1,1,1,12905.89,1
15578186,486,Germany,Male,37,9,115217.99,2,1,0,144995.33,0
15578211,777,France,Male,23,6,0,2,1,1,163225.48,0
15578251,644,France,Male,37,2,186347.97,2,1,0,92809.73,0
15578297,737,Germany,Female,43,1,125537.38,1,1,0,138510.01,1
15578369,652,Germany,Female,37,9,145219.3,1,1,0,159132.83,0
15578435,640,France,Male,40,8,110340.68,1,1,1,157886.6,0
15578462,596,Spain,Female,76,9,134208.25,1,1,1,13455.43,0
15578515,659,France,Female,38,3,0,2,1,0,158553.1,0
15578603,584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1
15578648,543,Germany,Male,49,6,59532.18,1,1,0,104253.56,0
15578671,706,Spain,Female,29,1,209490.21,1,1,1,133267.69,1
15578738,609,France,Male,32,7,71872.19,1,1,1,151924.9,0
15578761,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
15578783,620,Germany,Male,35,0,76989.97,1,1,1,17242.79,0
15578787,641,France,Female,52,4,0,1,1,0,90964.54,1
15578799,625,France,Female,58,10,53772.73,1,1,1,192072.1,1
15578809,651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1
15578825,734,France,Female,29,0,139994.66,1,1,0,17744.72,0
15578865,632,Germany,Female,50,5,107959.39,1,1,1,6985.34,1
15578866,676,France,Female,43,2,0,1,1,1,55119.53,0
15578908,725,Spain,Female,32,0,0,2,1,1,138525.19,0
15578977,786,France,Male,34,9,0,2,1,0,144517.19,0
15578980,516,Spain,Female,33,3,0,2,1,1,58685.59,0
15579062,707,France,Male,32,9,0,2,0,0,30807.02,0
15579112,598,France,Male,47,2,0,2,1,1,186116.54,0
15579130,708,Germany,Female,43,0,118994.84,1,1,0,181499.77,1
15579166,619,France,Female,30,7,70729.17,1,1,1,160948.87,0
15579208,550,France,Female,48,6,0,2,1,1,191870.28,0
15579212,638,France,Male,57,6,0,1,1,0,33676.48,1
15579262,497,France,Male,41,9,0,1,0,0,22074.48,0
15579334,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
15579387,635,Germany,Female,44,2,79064.85,2,0,1,113291.75,0
15579433,793,Spain,Male,29,8,96674.55,2,0,0,192120.66,0
15579566,616,Spain,Female,43,3,120867.18,1,1,0,18761.92,1
15579617,489,France,Female,51,3,0,2,0,1,174098.28,1
15579647,682,France,Male,42,0,0,1,1,1,160828.98,0
15579706,611,France,Female,46,5,0,1,1,0,77677.14,1
15579781,806,Germany,Male,31,10,138653.51,1,1,0,190803.37,0
15579808,754,Germany,Female,39,8,129401.87,1,1,1,87684.93,0
15579914,633,Germany,Male,30,2,109786.82,2,1,1,139712.81,0
15579996,524,Germany,Female,25,7,131402.21,1,0,0,193668.49,0
15580068,526,Spain,Male,35,5,0,2,1,1,105618.14,0
15580134,479,Spain,Male,27,2,172463.45,1,1,1,40315.27,0
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
15580148,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1
15580203,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
15580252,748,France,Male,44,4,112610.77,1,0,1,2048.55,0
15580487,627,Germany,Male,38,8,106922.92,2,0,1,84270.09,0
15580579,490,France,Female,40,1,0,1,1,1,49594.19,1
15580629,604,France,Male,31,6,134837.58,1,1,0,192029.19,0
15580682,652,France,Female,40,4,79927.36,2,1,1,33524.6,0
15580684,706,France,Female,29,5,112564.62,1,1,0,42334.38,0
15580701,712,France,Male,33,3,153819.58,1,1,0,79176.09,1
15580719,697,France,Female,23,10,0,2,1,1,79734.23,0
15580845,685,Germany,Male,57,7,101868.51,1,0,1,113483.96,0
15580914,478,Spain,Male,48,0,83287.05,2,0,1,44147.95,1
15580935,687,Germany,Male,33,9,135962.4,2,1,0,121747.96,0
15580956,683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1
15580988,842,France,Male,29,8,0,2,1,1,123437.05,0
15581036,712,Germany,Female,40,3,109308.79,2,1,0,120158.72,1
15581102,554,France,Female,22,8,0,2,0,1,142670.61,0
15581197,762,France,Female,51,3,99286.98,1,0,1,85578.63,0
15581198,668,Germany,Female,39,0,122104.79,1,1,0,112946.67,1
15581229,502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0
15581252,632,Spain,Female,29,7,80922.75,1,1,0,7820.78,0
15581280,714,Germany,Male,29,6,92887.13,1,1,1,69578.49,0
15581282,651,France,Female,39,6,0,1,1,0,24176.44,0
15581440,724,Germany,Female,48,6,110463.25,2,1,1,80552.11,1
15581479,523,France,Male,30,1,83181.29,1,1,1,138176.78,0
15581539,474,Spain,Male,37,3,0,2,0,0,57175.32,0
15581548,637,Spain,Female,22,5,98800,1,1,0,122865.55,0
15581620,597,France,Male,28,2,0,3,1,1,78707.97,0
15581626,664,France,Male,54,8,0,1,1,1,162719.69,1
15581654,798,France,Male,32,7,0,2,0,1,37731.95,0
15581733,781,France,Female,28,4,0,2,1,0,177703.15,0
15581748,754,Germany,Male,57,2,101134.87,2,1,1,70954.41,0
15581811,678,Germany,Female,30,1,139676.95,2,0,1,16146,0
15581840,626,France,Male,33,8,0,2,1,0,138504.28,0
15581893,747,France,Male,43,1,130788.71,1,0,1,101495,1
15582016,766,Spain,Male,41,6,99208.46,2,1,0,62402.38,0
15582033,753,Germany,Male,44,3,138076.47,1,1,0,15523.09,1
15582066,561,France,Male,21,4,0,1,1,1,36942.35,0
15582116,767,Germany,Female,45,7,132746.2,2,1,0,26628.88,1
15582129,517,France,Male,62,1,43772.66,3,1,0,187756.24,1
15582180,561,France,Male,29,9,120268.13,1,1,1,173870.39,0
15582246,737,Spain,Female,45,2,0,2,0,1,177695.67,0
15582259,567,France,Female,37,7,0,2,1,1,28690.9,0
15582276,638,France,Male,34,5,133501.36,1,0,1,155643.04,0
15582325,524,France,Male,52,2,87894.26,1,1,0,173899.42,1
15582335,556,France,Female,40,9,129860.37,1,0,0,17992.94,0
15582492,535,France,Female,29,2,112367.34,1,1,0,185630.76,0
15582519,479,France,Male,47,6,121797.09,1,0,1,5811.9,1
15582616,520,France,Female,38,4,0,2,1,0,56388.63,0
15582714,749,Germany,Male,47,9,110022.74,1,0,1,135655.29,1
15582741,693,France,Female,35,5,124151.09,1,1,0,88705.14,1
15582762,667,Spain,Male,77,2,0,1,1,1,34702.92,0
15582797,685,Spain,Male,35,4,137948.51,1,1,0,113639.64,0
15582841,600,France,Male,29,8,0,2,0,1,34747.43,0
15582849,757,France,Female,51,1,0,1,1,1,22835.13,1
15582892,601,France,Male,46,2,99786.07,1,1,1,32683.88,1
15582910,514,France,Male,38,4,112230.38,1,1,0,16717.11,1
15582944,425,Spain,Female,39,5,0,2,1,0,140941.47,0
15582960,473,France,Female,33,5,125827.43,1,0,1,145698.73,0
15583049,643,Germany,Female,34,7,160426.07,1,0,1,188533.11,0
15583073,771,Spain,Female,56,2,0,1,1,1,25222.6,1
15583090,581,Spain,Female,29,8,0,2,1,0,46735.19,0
15583137,637,France,Female,48,7,130806.99,2,1,1,132005.85,1
15583212,600,France,Female,43,5,134022.06,1,1,0,194764.83,0
15583278,743,Spain,Female,36,8,92716.96,1,1,1,33693.78,0
15583303,593,France,Female,29,2,152265.43,1,1,0,34004.44,0
15583353,610,Spain,Female,45,3,0,1,1,0,38276.84,1
15583364,476,France,Female,32,6,111871.93,1,0,0,112132.86,0
15583371,632,Spain,Male,37,1,138207.08,1,1,0,60778.11,1
15583392,747,Germany,Male,37,9,135776.36,3,1,0,85470.45,1
15583456,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
15583499,510,France,Male,32,9,103324.78,1,1,1,46127.7,0
15583548,525,Spain,Female,47,6,118560,1,1,0,82522.61,1
15583576,671,France,Male,30,2,0,1,0,1,102057.86,0
15583580,566,Germany,Female,35,1,123042,1,1,0,66245.44,1
15583595,461,France,Female,28,8,0,1,1,1,103349.74,0
15583668,726,France,Female,42,2,109471.79,1,0,1,175161.05,0
15583681,616,Spain,Male,31,7,76665.71,2,1,1,163809.08,0
15583718,696,Germany,Male,38,6,142316.14,1,1,1,8018.49,0
15583725,682,France,Male,48,1,138778.15,1,0,1,168840.23,0
15583748,592,Spain,Male,38,8,0,2,1,0,180426.2,0
15583840,587,Germany,Male,35,5,121863.61,1,1,1,23481.69,1
15583850,672,Germany,Male,68,0,126061.51,2,1,1,184936.77,0
15583863,681,Germany,Male,49,8,142946.18,1,0,0,187280.51,1
15584037,727,Germany,Male,58,5,106913.43,1,1,0,25881,1
15584090,621,Spain,Female,40,7,0,2,0,1,131283.6,1
15584091,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1
15584113,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,1
15584114,678,Germany,Female,43,2,153393.18,2,1,1,193828.27,0
15584156,593,Spain,Male,27,10,0,3,0,0,94620,1
15584190,704,France,Male,36,7,120026.98,2,0,1,100601.73,0
15584320,686,France,Female,39,3,111695.62,1,0,0,136643.84,0
15584363,824,France,Male,30,0,133634.02,1,1,1,162053.92,0
15584364,652,France,Male,48,4,59486.31,1,1,0,163944.18,1
15584505,580,France,Female,23,5,113923.81,2,0,0,196241.43,0
